date,temp_max,temp_min,precipitation_mm,humidity_percent
2018-01-01,2.5,-5.7,0.0,23
2018-01-02,1.3,-7.5,0.0,30
2018-01-03,1.2,-6.3,0.0,21
2018-01-04,-1.1,-6.3,0.0,23
2018-01-05,2.7,-8.0,0.0,25
2018-01-06,2.1,-6.5,0.0,25
2018-01-07,2.4,-3.4,0.0,30
2018-01-08,0.6,-5.3,0.0,26
2018-01-09,0.5,-7.0,0.0,24
2018-01-10,-1.6,-8.5,0.0,18
2018-01-11,-2.4,-10.2,0.0,18
2018-01-12,1.7,-10.4,0.0,21
2018-01-13,2.7,-7.5,0.0,32
2018-01-14,7.3,-6.5,0.0,42
2018-01-15,1.1,-5.0,0.0,39
2018-01-16,3.4,-3.9,0.0,37
2018-01-17,6.4,-5.4,0.0,36
2018-01-18,3.7,-7.5,0.0,37
2018-01-19,6.9,-5.6,0.0,35
2018-01-20,3.7,-4.6,0.0,43
2018-01-21,-1.0,-4.5,0.0,49
2018-01-22,-1.7,-10.4,0.9,41
2018-01-23,-5.1,-14.5,0.0,14
2018-01-24,-2.9,-13.0,0.0,16
2018-01-25,-4.7,-11.7,0.0,17
2018-01-26,-4.9,-13.0,0.0,21
2018-01-27,-2.7,-11.7,0.0,36
2018-01-28,-1.5,-11.9,0.0,18
2018-01-29,0.9,-9.4,0.0,22
2018-01-30,4.0,-7.1,0.0,20
2018-01-31,2.5,-6.0,0.0,24
2018-02-01,4.1,-6.7,0.0,26
2018-02-02,-1.6,-7.6,0.0,22
2018-02-03,0.5,-8.9,0.0,18
2018-02-04,3.4,-9.9,0.0,21
2018-02-05,-0.5,-8.1,0.0,20
2018-02-06,1.1,-10.3,0.0,26
2018-02-07,0.4,-6.8,0.0,27
2018-02-08,1.5,-9.3,0.0,25
2018-02-09,2.2,-7.4,0.0,19
2018-02-10,-1.2,-8.6,0.0,14
2018-02-11,-1.2,-8.4,0.0,17
2018-02-12,5.2,-7.6,0.0,24
2018-02-13,6.3,-5.8,0.0,27
2018-02-14,5.3,-2.6,0.0,23
2018-02-15,4.6,-6.6,0.0,24
2018-02-16,6.4,-4.9,0.0,28
2018-02-17,4.3,-6.7,0.0,54
2018-02-18,7.6,-5.2,0.0,58
2018-02-19,6.5,-4.5,0.0,69
2018-02-20,5.2,-3.8,0.0,34
2018-02-21,7.4,-5.6,0.0,28
2018-02-22,8.2,-5.5,0.0,25
2018-02-23,10.6,-4.6,0.0,28
2018-02-24,2.6,-4.9,0.0,32
2018-02-25,5.8,-6.8,0.0,51
2018-02-26,10.1,-3.6,0.0,56
2018-02-27,5.8,-1.4,0.0,64
2018-02-28,7.9,-2.4,0.8,48
2018-03-01,7.5,-5.0,0.0,28
2018-03-02,9.4,-4.3,0.0,43
2018-03-03,11.5,-2.0,0.0,74
2018-03-04,8.1,-0.5,0.0,32
2018-03-05,7.2,-5.1,0.0,49
2018-03-06,5.7,-5.3,0.0,57
2018-03-07,3.5,-4.7,0.4,60
2018-03-08,6.0,-5.3,0.0,44
2018-03-09,9.3,-4.5,0.0,50
2018-03-10,12.8,-1.6,0.0,51
2018-03-11,9.4,-4.3,0.0,57
2018-03-12,13.7,-2.5,0.0,73
2018-03-13,20.0,1.6,0.0,67
2018-03-14,19.2,6.5,0.0,78
2018-03-15,12.1,2.0,0.2,29
2018-03-16,9.0,-2.4,0.0,44
2018-03-17,4.4,-0.2,2.2,60
2018-03-18,12.2,-1.2,0.0,69
2018-03-19,14.2,0.9,0.0,49
2018-03-20,9.4,1.1,0.0,27
2018-03-21,12.0,-3.9,0.0,37
2018-03-22,17.4,-0.9,0.0,45
2018-03-23,19.4,3.3,0.1,51
2018-03-24,21.4,4.0,0.0,33
2018-03-25,24.9,4.4,0.0,35
2018-03-26,24.6,8.3,0.0,39
2018-03-27,28.2,7.2,0.0,47
2018-03-28,24.3,11.8,0.0,32
2018-03-29,20.3,6.4,0.0,29
2018-03-30,18.2,5.5,0.0,29
2018-03-31,24.5,6.3,0.0,37
2018-04-01,27.5,8.0,0.0,44
